,ID,Genre,Senior,Enfants,Anciennete,Multi-lignes,Service Internet,Autres Services,Partenaire,Contrat,Facturation electronique,Mode de paiement,charges mensuelles,Charges totales,target
"2662,3109,Femme,0,Oui,43,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,106,""4532,3"",Non"
"4942,5814,Homme,0,Oui,48,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,""111,8"",""5443,65"",Non"
"5482,6448,Homme,0,Non,60,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,79,""4801,1"",Non"
"2298,2692,Femme,0,Non,7,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,""59,1"",""369,25"",Non"
"1666,1962,Femme,0,Non,42,Oui,DSL,Oui,Non,Annuel,Oui,Virement bancaire,""60,15"",""2421,6"",Non"
"1410,1660,Homme,0,Oui,68,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,""70,8"",""4859,95"",Non"
"5938,6983,Femme,0,Oui,72,Non,DSL,Oui,Oui,Bisannuel,Oui,Cheque electronique,""74,35"",""5237,4"",Non"
"4247,4990,Femme,0,Oui,7,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,""29,8"",""201,95"",Non"
"3163,3713,Homme,0,Non,44,Non,DSL,Oui,Non,Annuel,Non,Cheque electronique,""65,4"",""2774,55"",Non"
"2722,3186,Femme,1,Non,1,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,""25,05"",""25,05"",Oui"
"1817,2136,Femme,0,Non,56,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,""106,6"",""5893,95"",Non"
"1126,1333,Homme,0,Non,69,Oui,Non,Oui,Non,Bisannuel,Non,Virement bancaire,""23,95"",""1713,1"",Non"
"4358,5123,Femme,0,Oui,27,Non,DSL,Oui,Oui,Mensuel,Non,Cheque papier,""49,85"",""1336,15"",Non"
"1737,2043,Femme,1,Non,28,Oui,DSL,Oui,Non,Mensuel,Non,Virement bancaire,""64,45"",""1867,6"",Non"
"3509,4119,Femme,0,Non,40,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,""74,8"",""2971,7"",Non"
"3615,4237,Femme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Carte bancaire,""19,95"",""19,95"",Non"
"304,359,Homme,1,Non,27,Non,DSL,Non,Oui,Mensuel,Non,Carte bancaire,""30,75"",""805,1"",Oui"
"1883,2212,Femme,0,Non,50,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque papier,""104,4"",""5232,9"",Non"
"1292,1528,Homme,0,Oui,72,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,21,""1493,75"",Non"
"70,77,Femme,0,Non,46,Non,DSL,Oui,Non,Annuel,Non,Carte bancaire,""55,65"",""2688,85"",Non"
