Genre,Senior,Enfants,Anciennete,Multi_lignes,Service_Internet,Autres_Services,Partenaire,Contrat,Facturation_electronique,Mode_de_paiement,charges_mensuelles,Charges_totales,target
Femme,0,Oui,43,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,106,4532.3,Non
Homme,0,Oui,48,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Carte bancaire,111.8,5443.65,Non
Homme,0,Non,60,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,79,4801.1,Non
Femme,0,Non,7,Non,DSL,Oui,Non,Annuel,Oui,Cheque electronique,59.1,369.25,Non
Femme,0,Non,42,Oui,DSL,Oui,Non,Annuel,Oui,Virement bancaire,60.15,2421.6,Non
Homme,0,Oui,68,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,70.8,4859.95,Non
Femme,0,Oui,72,Non,DSL,Oui,Oui,Bisannuel,Oui,Cheque electronique,74.35,5237.4,Non
Femme,0,Oui,7,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,29.8,201.95,Non
Homme,0,Non,44,Non,DSL,Oui,Non,Annuel,Non,Cheque electronique,65.4,2774.55,Non
Femme,1,Non,1,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,25.05,25.05,Oui
Femme,0,Non,56,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,106.6,5893.95,Non
Homme,0,Non,69,Oui,Non,Oui,Non,Bisannuel,Non,Virement bancaire,23.95,1713.1,Non
Femme,0,Oui,27,Non,DSL,Oui,Oui,Mensuel,Non,Cheque papier,49.85,1336.15,Non
Femme,1,Non,28,Oui,DSL,Oui,Non,Mensuel,Non,Virement bancaire,64.45,1867.6,Non
Femme,0,Non,40,Non,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,74.8,2971.7,Non
Femme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Carte bancaire,19.95,19.95,Non
Homme,1,Non,27,Non,DSL,Non,Oui,Mensuel,Non,Carte bancaire,30.75,805.1,Oui
Femme,0,Non,50,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque papier,104.4,5232.9,Non
Homme,0,Oui,72,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,21,1493.75,Non
Femme,0,Non,46,Non,DSL,Oui,Non,Annuel,Non,Carte bancaire,55.65,2688.85,Non
Femme,1,Non,18,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,74.7,1294.6,Non
Femme,0,Non,46,Non,Non,Oui,Non,Bisannuel,Oui,Cheque electronique,21.1,937.1,Non
Homme,0,Non,16,Oui,DSL,Oui,Non,Mensuel,Non,Cheque electronique,55.3,875.35,Non
Homme,0,Non,72,Oui,Non,Oui,Oui,Bisannuel,Non,Carte bancaire,24.8,1874.3,Non
Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,69.1,69.1,Oui
Femme,0,Non,70,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,90.25,6385.95,Non
Femme,1,Non,21,Oui,DSL,Oui,Oui,Annuel,Non,Virement bancaire,71.7,1497.05,Non
Homme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,69.9,69.9,Oui
Homme,1,Non,72,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,84.8,6141.65,Non
Femme,0,Oui,46,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,19.4,967.85,Non
Femme,0,Non,61,Non,DSL,Non,Non,Annuel,Non,Carte bancaire,43.7,2696.55,Non
Femme,0,Non,39,Non,DSL,Non,Non,Mensuel,Non,Virement bancaire,41.1,1597.05,Non
Homme,0,Non,14,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,55,771.95,Non
Femme,0,Oui,1,Non,Non,Oui,Oui,Mensuel,Non,Cheque electronique,19.45,19.45,Non
Homme,0,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,76.05,318.9,Oui
